species,common_name,taxon_id,year,onset_doy,species_median_doy,anomaly_days,zscore
Vaccinium ovatum,Evergreen Huckleberry,48349,2023,125.2,111.0,14.2,1.591
Vaccinium ovatum,Evergreen Huckleberry,48349,2024,93.6,111.0,-17.4,-1.949
Vaccinium ovatum,Evergreen Huckleberry,48349,2025,111.2,111.0,0.2,0.022
Viola glabella,stream violet,71113,2017,103.2,106.0,-2.8,-0.538
Viola glabella,stream violet,71113,2018,110.0,106.0,4.0,0.769
Viola glabella,stream violet,71113,2019,107.0,106.0,1.0,0.192
Viola glabella,stream violet,71113,2020,108.4,106.0,2.4,0.461
Viola glabella,stream violet,71113,2021,99.4,106.0,-6.6,-1.268
Viola glabella,stream violet,71113,2022,106.0,106.0,0.0,0.0
Viola glabella,stream violet,71113,2023,112.0,106.0,6.0,1.153
Viola glabella,stream violet,71113,2024,97.2,106.0,-8.8,-1.691
Viola glabella,stream violet,71113,2025,99.4,106.0,-6.6,-1.268
